"GEOID","county_name","date","week","RED","NIR","BLUE","soy_area_m2","mean_EDVI","year","NDVI"
51163,"Rockbridge","2013-03-19",11,0.110193125,0.2969525,0.05575,1224900,0.292689758060134,2013,0.458704118458844
51019,"Bedford","2013-03-19",11,0.0999425,0.287905,0.047225,1165500,0.301814926625457,2013,0.484629912530054
51031,"Campbell","2013-03-19",11,0.122845416666667,0.279480833333333,0.0652008333333333,8542521.17647059,0.246945309782112,2013,0.389324377086175
51067,"Franklin","2013-03-19",11,0.0236025,0.0779425,0.00622249999999999,5126322.35294118,0.170525904630013,2013,0.535132207395736
51023,"Botetourt","2013-03-19",11,0.14815,0.289573333333333,0.0754216666666667,799200,0.213757430539749,2013,0.323088404395471
51015,"Augusta","2013-03-19",11,0.155012777777778,0.31030375,0.0778370833333333,20963481.1764706,0.227652261828725,2013,0.333731907103856
51095,"James City","2013-03-19",11,0.09623,0.248036875,0.0578159375,2753523.52941176,0.258728232457974,2013,0.440956961078524
51073,"Gloucester","2013-03-19",11,0.0761311728833953,0.229982048102166,0.0467453984357908,20283631.7647059,0.278073067434186,2013,0.502594676320849
51093,"Isle of Wight","2013-03-19",11,0.0824013684402332,0.234499338556851,0.0464522139212828,49306616.4705882,0.270185360579307,2013,0.479954656958267
51115,"Mathews","2013-03-19",11,0.0698606255037885,0.203686598017088,0.0495217797839755,6436796.47058824,0.255872877138906,2013,0.489224386161925
51181,"Surry","2013-03-19",11,0.0923860864000593,0.242585593745363,0.0530723308354355,35048216.4705882,0.25951619344337,2013,0.448394644228124
51097,"King and Queen","2013-03-19",11,0.076592774878355,0.234572179406687,0.0464870430466175,34469904.7058824,0.283207750020401,2013,0.50770307630343
51119,"Middlesex","2013-03-19",11,0.0743835849056604,0.243065990566038,0.0452595283018868,9931037.64705882,0.299386636222785,2013,0.531367557854605
51057,"Essex","2013-03-19",11,0.1019775,0.2561975,0.05795,24910485.8823529,0.257687329034462,2013,0.430571647937461
51133,"Northumberland","2013-03-19",11,0.0726187640922881,0.235306288999588,0.0453170732986254,17521334.1176471,0.29317824410923,2013,0.528334811584034
51171,"Shenandoah","2013-03-19",11,0.110048945217037,0.27924181514023,0.0596450855347376,15219197.6470588,0.271172102983345,2013,0.434618252351836
51175,"Southampton","2013-03-19",11,0.1169155,0.302722,0.059017,106673685.882353,0.286829461238522,2013,0.442778588662834
51131,"Northampton","2013-03-19",11,0.0842314245877789,0.234112799466537,0.0526176273035887,34386522.3529412,0.265643492243472,2013,0.470815436730479
51103,"Lancaster","2013-03-19",11,0.0783976490975673,0.224919503171593,0.048314548129741,12542837.6470588,0.266044276719721,2013,0.483064848057138
51159,"Richmond","2013-03-19",11,0.0765091645342886,0.245553522262027,0.0465739790174002,15713110.5882353,0.297872543516346,2013,0.524880293986518
51001,"Accomack","2013-03-19",11,0.0778100447999323,0.240571676484262,0.0455498163889564,71282156.4705882,0.288454933926933,2013,0.511215377025508
51193,"Westmoreland","2013-03-19",11,0.0795728571428572,0.26596,0.048331875,20664924.7058824,0.317081771159601,2013,0.539419447395947
51127,"New Kent","2013-03-19",11,0.0755622222222222,0.228776944444444,0.0470752777777778,8367628.23529412,0.277729220093333,2013,0.503434125486824
51165,"Rockingham","2013-03-19",11,0.117648110435502,0.293540271074749,0.0639904854832548,26027671.7647059,0.274300163434386,2013,0.427765395493942
51800,"Suffolk","2013-03-19",11,0.0933425,0.2524575,0.05498,56922765.882353,0.270581829375303,2013,0.460135916714864
51163,"Rockbridge","2013-03-26",12,0.104623,0.296254,0.0536435,1224900,0.302663601840369,2013,0.478029420495563
51143,"Pittsylvania","2013-03-26",12,0.0855020361712598,0.247503006889764,0.0449873769685039,8003463.52941176,0.280732188684446,2013,0.486482034113871
51009,"Amherst","2013-03-26",12,0.0898450584007188,0.230657140610961,0.04785908131177,840600,0.248727848774739,2013,0.439348256094527
51019,"Bedford","2013-03-26",12,0.0938466666666667,0.26468125,0.04891625,1165500,0.285308232958014,2013,0.476488929848559
51031,"Campbell","2013-03-26",12,0.0888901656130647,0.230874719149216,0.0458248106808903,8542521.17647059,0.251087860056621,2013,0.444027972745367
51089,"Henry","2013-03-26",12,0.0805916666666667,0.217743333333333,0.04453,180074.117647059,0.251101314434225,2013,0.459723688694476
51067,"Franklin","2013-03-26",12,0.0907758333333333,0.260797202380952,0.0472544642857143,5126322.35294118,0.286744917858211,2013,0.483601845921401
51015,"Augusta","2013-03-26",12,0.154252525,0.31448595,0.0962392125,20963481.1764706,0.234038774037846,2013,0.341839711365703
51179,"Stafford","2013-03-26",12,0.0541,0.15761,0.02501875,5801541.17647059,0.224963273287198,2013,0.488923527466818
51157,"Rappahannock","2013-03-26",12,0.117419703656999,0.295845494955864,0.0630359394703657,1390898.82352941,0.277551267011365,2013,0.431746471509715
51061,"Fauquier","2013-03-26",12,0.120354585766423,0.311603877737226,0.0581506697080292,35977845.8823529,0.290990521045814,2013,0.442749264407426
51153,"Prince William","2013-03-26",12,0.0198075,0.0952675,0.00545249999999999,5982352.94117647,0.222446875027339,2013,0.655746252444058
51107,"Loudoun","2013-03-26",12,0.0937825,0.2681325,0.04050125,16449709.4117647,0.289813532212174,2013,0.481742950692842
51047,"Culpeper","2013-03-26",12,0.114996204373561,0.282025803395265,0.0594970332538639,41489389.4117647,0.265085606889715,2013,0.420706146645049
51177,"Spotsylvania","2013-03-26",12,0.0738738660907127,0.21647247300216,0.0387774217062635,11802412.9411765,0.264640985736797,2013,0.491132787680283
